"description","units","key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total : United States","short tons","US",1127688806,1094283061,1071752573,1112098870,1131498099,1162749659,"1146635345","1171808669","1074923392","1084368148","1095627536","1016458418","984841779","1000048758","896940563","728364498","774609357"
"Total : Middle Atlantic","short tons","MAT",74145764,68393192,63707881,65995922,67493812,66028815,"65048039","65413644","57979452","58593111","59181827","54718802","54008748","60909704","50030833","45719786","49085344"
"Total : Pennsylvania","short tons","PA",74145764,68393192,63707881,65995922,67493812,66028815,"65048039","65413644","57979452","58593111","59181827","54718802","54008748","60909704","50030833","45719786","49085344"
"Total : East North Central","short tons","ENC",95920986,89808199,89004233,90184477,91189560,90569909,"90023730","95062080","96904263","94897917","103361794","111533858","116361864","119488642","107437449","84752970","89164906"
"Total : Illinois","short tons","IL",33783442,33314366,31640024,31852986,32013963,32728800,"32445245","32918044","33748428","33241392","37770397","48486048","52147193","57969300","56101030","43422136","48204145"
"Total : Indiana","short tons","IN",36737851,35336634,35354948,35109641,34457358,35119060,"35003099","35893112","35655272","34949969","37425683","36720174","39101834","39266977","34295444","28766705","31471867"
"Total : Ohio","short tons","OH",25399693,21157199,22009261,23221850,24718239,22722049,"22575386","26250924","27500563","26706556","28165714","26327636","25112837","22252365","17040975","12564129","9488894"
"Total : West North Central","short tons","WNC",31017916,31251559,31462530,30591586,30724535,31231153,"30262809","30103392","30582560","29540112","28733414","27966117","28074913","29586372","29139231","28381545","29031850"
"Total : Kansas","short tons","KS",176064,204648,153652,70650,170658,425997,"420436","229246","184812","132691","37257","15864","22150","66366","199199","26788","--"
"Total : Missouri","short tons","MO",366435,248016,533441,578065,597618,394100,"236107","247049","452456","458477","464738","421587","413703","362813","138206","233898","244345"
"Total : North Dakota","short tons","ND",30475417,30798895,30775437,29942871,29956259,30411056,"29606266","29627097","29945292","28948944","28231419","27528666","27639060","29157193","28801826","28120859","28787505"
"Total : South Atlantic","short tons","SAT",199833837,185181104,176363391,184638462,186576496,187167606,"181126783","185350458","160451959","160190307","160121171","141673204","131330650","129224479","111469038","94282748","107801007"
"Total : Maryland","short tons","MD",4643998,5147305,5055769,5224941,5183453,5054022,"2301185","2859965","2305459","2585156","2936758","2283341","1925291","1977928","1921869","1615746","1808384"
"Total : Virginia","short tons","VA",32774024,29956063,31596312,31420320,27743396,29739969,"25346083","24712406","21019178","22385402","22522668","18965105","16619072","15059178","13914269","12909687","13201849"
"Total : West Virginia","short tons","WV",162415815,150077736,139711310,147993201,153649647,152373615,"153479515","157778087","137127322","135219749","134661745","120424758","112786287","112187373","95632900","79757315","92790774"
"Total : East South Central","short tons","ESC",157126323,148544587,139182693,142987262,147844800,146279214,"140807322","146108375","131570330","130658741","132130979","114226008","103673302","98274017","78656669","56024593","57679850"
"Total : Alabama","short tons","AL",19363851,18931293,20117555,22270612,21338682,18829862,"19327303","20611379","18796190","19914940","19071050","19321139","18620017","16362945","13190832","9642974","12860658"
"Total : Kentucky","short tons","KY",133834374,124141999,112805618,114243649,119733923,120847953,"115280302","120322708","107338054","104960118","108766150","90861804","80379779","77334723","61424961","42867898","41784412"
"Total : Mississippi","short tons","MS",603827,2305262,3695385,3586363,3555351,3797455,"3545266","2841512","3439987","4003505","2746744","2952818","3575069","3737100","3143392","2869740","2603668"
"Total : Tennessee","short tons","TN",3324271,3166033,2564135,2886638,3216844,2803944,"2654451","2332776","1996099","1780178","1547035","1090247","1098437","839249","897484","643981","431112"
"Total : West South Central","short tons","WSC",50486353,50469210,53117647,51467875,51958701,51682749,"46805604","44392847","39711527","45969255","51046309","49301448","46854765","47257201","40228355","42501875","39064894"
"Total : Arkansas","short tons","AR",14362,13783,7564,7328,2563,22752,"82677","69181","4638","32301","133347","98121","58578","93989","91462","49415","42738"
"Total : Louisiana","short tons","LA",3715136,3802509,4028110,3805488,4160962,4114016,"3126586","3843243","3657416","3944542","3864700","3971129","2809771","2604888","3438728","2797656","2078567"
"Total : Oklahoma","short tons","OK",1714449,1406296,1565216,1792233,1856497,1998364,"1647935","1463496","956205","1010411","1144665","1053973","1135797","904311","780199","654220","561345"
"Total : Texas","short tons","TX",45042406,45246622,47516757,45862826,45938679,45547617,"41948406","39016927","35093268","40982001","45903597","44178225","42850619","43654013","35917966","39000584","36382244"
"Total : Mountain","short tons","MTN",511265255,512674341,510612472,538078561,548294135,585033316,"590081989","602493320","553175388","560510879","557252677","513663157","500939684","512182976","477417852","374917985","401123610"
"Total : Arizona","short tons","AZ",13417524,12804057,12059094,12730829,12071576,8216255,"7982584","8024973","7474029","7752277","8110942","7493276","7602722","8050607","6804555","5422850","6221392"
"Total : Colorado","short tons","CO",33371705,35103060,35831185,39870097,38509970,36321783,"36383903","32028460","28267207","25162526","26889632","28566094","24236286","24007495","18878915","12634136","15046510"
"Total : Montana","short tons","MT",39142820,37385807,36994098,39988503,40353984,41822805,"43389833","44785700","39485837","44732165","42008238","36693982","42231483","44562048","41864004","32335656","35231843"
"Total : New Mexico","short tons","NM",29617552,28916344,26388865,27249951,28518728,25912523,"24450829","25644851","25124096","20990588","21922457","22452275","21968641","21963311","19678796","13341089","13843683"
"Total : Utah","short tons","UT",26966482,25303737,23069243,21746089,24521343,26017697,"24306581","24365168","21717588","19350951","19648020","17015919","16976724","17934416","14419078","13966122","14325737"
"Total : Wyoming","short tons","WY",368749172,373161336,376269987,396493092,404318534,446742253,"453568259","467644168","431106631","442522372","438673388","401441611","387923828","395665099","375772504","297218132","316454445"
"Total : Pacific Contiguous","short tons","PCC",4624245,5827162,6231874,5653221,5265672,2579549,"--","--","--","--","--","--","--","--","--","--","--"
"Total : Washington","short tons","WA",4624245,5827162,6231874,5653221,5265672,2579549,"--","--","--","--","--","--","--","--","--","--","--"
"Total : Pacific Noncontiguous","short tons","PCN",1514241,1145713,1081323,1511787,1454014,1425023,"1323560","1477015","1860363","2151094","2148926","2052086","1631584","1501758","1177390","932122","959068"
"Total : Alaska","short tons","AK",1514241,1145713,1081323,1511787,1454014,1425023,"1323560","1477015","1860363","2151094","2148926","2052086","1631584","1501758","1177390","932122","959068"
